loc_x,loc_y,level,type
0,0,1,1
0,2,1,1
2,0,1,1
2,2,1,1
0,5,1,1
0,7,1,1
2,5,1,1
2,7,1,1
0,10,1,1
0,12,1,1
2,10,1,1
2,12,1,1
0,15,1,1
0,17,1,1
2,15,1,1
2,17,1,1
0,20,1,1
0,22,1,1
2,20,1,1
2,22,1,1
0,25,1,1
0,27,1,1
2,25,1,1
2,27,1,1
0,30,1,1
0,32,1,1
2,30,1,1
2,32,1,1
5,0,1,1
5,2,1,1
7,0,1,1
7,2,1,1
5,5,1,1
5,7,1,1
7,5,1,1
7,7,1,1
5,10,1,1
5,12,1,1
7,10,1,1
7,12,1,1
5,15,1,1
5,17,1,1
7,15,1,1
7,17,1,1
5,20,1,1
5,22,1,1
7,20,1,1
7,22,1,1
5,25,1,1
5,27,1,1
7,25,1,1
7,27,1,1
5,30,1,1
5,32,1,1
7,30,1,1
7,32,1,1
10,0,1,1
10,2,1,1
12,0,1,1
12,2,1,1
10,5,1,1
10,7,1,1
12,5,1,1
12,7,1,1
10,10,1,1
10,12,1,1
12,10,1,1
12,12,1,1
10,15,1,1
10,17,1,1
12,15,1,1
12,17,1,1
10,20,1,1
10,22,1,1
12,20,1,1
12,22,1,1
10,25,1,1
10,27,1,1
12,25,1,1
12,27,1,1
10,30,1,1
10,32,1,1
12,30,1,1
12,32,1,1
15,0,1,1
15,2,1,1
17,0,1,1
17,2,1,1
15,5,1,1
15,7,1,1
17,5,1,1
17,7,1,1
15,10,1,1
15,12,1,1
17,10,1,1
17,12,1,1
15,15,1,1
15,17,1,1
17,15,1,1
17,17,1,1
15,20,1,1
15,22,1,1
17,20,1,1
17,22,1,1
15,25,1,1
15,27,1,1
17,25,1,1
17,27,1,1
15,30,1,1
15,32,1,1
17,30,1,1
17,32,1,1
20,0,1,1
20,2,1,1
22,0,1,1
22,2,1,1
20,5,1,1
20,7,1,1
22,5,1,1
22,7,1,1
20,10,1,1
20,12,1,1
22,10,1,1
22,12,1,1
20,15,1,1
20,17,1,1
22,15,1,1
22,17,1,1
20,20,1,1
20,22,1,1
22,20,1,1
22,22,1,1
20,25,1,1
20,27,1,1
22,25,1,1
22,27,1,1
20,30,1,1
20,32,1,1
22,30,1,1
22,32,1,1
25,0,1,1
25,2,1,1
27,0,1,1
27,2,1,1
25,5,1,1
25,7,1,1
27,5,1,1
27,7,1,1
25,10,1,1
25,12,1,1
27,10,1,1
27,12,1,1
25,15,1,1
25,17,1,1
27,15,1,1
27,17,1,1
25,20,1,1
25,22,1,1
27,20,1,1
27,22,1,1
25,25,1,1
25,27,1,1
27,25,1,1
27,27,1,1
25,30,1,1
25,32,1,1
27,30,1,1
27,32,1,1
30,0,1,1
30,2,1,1
32,0,1,1
32,2,1,1
30,5,1,1
30,7,1,1
32,5,1,1
32,7,1,1
30,10,1,1
30,12,1,1
32,10,1,1
32,12,1,1
30,15,1,1
30,17,1,1
32,15,1,1
32,17,1,1
30,20,1,1
30,22,1,1
32,20,1,1
32,22,1,1
30,25,1,1
30,27,1,1
32,25,1,1
32,27,1,1
30,30,1,1
30,32,1,1
32,30,1,1
32,32,1,1